,name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color,spectral_type
21,HR1017,33Alp Per,51.0808,49.8611,1.79,STAR F5I,0.48,,0.33,,0.37,F
22,HR1018,,50.5679,-25.5878,6.35,STAR A0V,0.01,,,,,A
23,HR1019,,51.1237,33.5358,5.61,STAR A0V,-0.03,,,,-0.16,A
24,HR102,,6.8113,-25.5472,5.98,STAR G8III,1.03,,,,0.88,K
25,HR1020,,51.4517,53.9217,6.51,STAR A9III,0.29,,,,0.07,A
26,HR1021,,50.3887,-47.7769,6.39,STAR K0III,1.0,,,,,K
27,HR1022,64    Ari,51.0771,24.7242,5.5,STAR,1.19,,,,,K
28,HR1023,,50.9129,4.8819,6.38,STAR G5III,0.86,,,,0.51,G
29,HR1024,,50.8242,-7.7942,6.2,STAR G2V,0.7,,,,0.16,G
30,HR1025,Iot Hyi,48.99,-77.3883,5.52,STAR F4III,0.44,C,0.24,,0.0,F
31,HR1026,,51.2892,41.2572,6.51,STAR A0V,,,,,,A
32,HR1027,65    Ari,51.1087,20.8036,6.08,STAR A1V,-0.04,,,,-0.08,A
33,HR1028,,51.0421,12.6294,6.04,STAR K0III,1.23,,,,1.09,K
34,HR1029,,51.4892,49.1208,6.09,STAR B7V,-0.07,,,,-0.49,B
35,HR103,47    Psc,7.0121,17.8931,5.06,STAR M3III,1.65,,1.54,v,1.82,M
36,HR1030,1Omi Tau,51.2033,9.0289,3.6,STAR G6III,0.89,,0.45,,0.61,G
37,HR1031,,50.9358,-32.7072,6.5,STAR K3III,1.37,,,,,K
38,HR1032,,52.5812,71.8639,6.32,STAR M2III,1.8,,,,1.88,M
39,HR1033,,52.0983,60.2556,6.49,STAR B9V,0.02,,,,-0.23,B
40,HR1034,,52.0129,49.0628,4.98,STAR B5V,-0.09,,-0.1,,-0.56,B
41,HR1035,,52.2671,59.9403,4.21,STAR B9I,0.41,,0.38,,-0.24,B
42,HR1036,,51.7633,18.7564,6.57,STAR A3V,0.15,,,,0.1,A
43,HR1037,,52.2183,49.8483,5.58,STAR B6V,-0.04,,,,-0.45,B
44,HR1038,2Xi  Tau,51.7925,9.7328,3.74,STAR B9V,-0.09,,-0.09,,-0.33,B
45,HR1039,,51.8279,12.735,6.28,STAR A0V,-0.02,,,,-0.07,A
46,HR104,,7.0571,44.3944,5.17,STAR A2V,0.03,,,,-0.01,A
47,HR1040,,52.4787,58.8786,4.54,STAR A0I,0.56,,0.5,e,-0.11,A
48,HR1041,,52.0867,33.8075,5.61,STAR A2V,0.02,,,,0.14,A
49,HR1042,Chi1For,51.4825,-35.9208,6.39,STAR A1IV,0.08,,,,,A
50,HR1043,,52.5471,59.3661,6.13,STAR A2V,0.08,,,,,A
51,HR1044,34    Per,52.3421,49.5089,4.67,STAR B3V,-0.09,,-0.11,,-0.57,B
52,HR1045,,51.5938,-27.3175,5.93,STAR G5III,0.94,,,,,K
53,HR1046,,52.5008,55.4519,5.09,STAR A1V,0.05,,-0.01,,0.04,A
54,HR1047,,52.3592,46.9378,6.24,STAR B7V,0.13,,,,-0.25,B
55,HR1048,66    Ari,52.1108,22.8042,6.03,STAR K0IV,0.95,,,,,G
56,HR1049,,51.5488,-41.6369,6.32,STAR A0V,0.06,,,,0.05,A
57,HR105,Eta Scl,6.9821,-33.0072,4.81,STAR M4III,1.64,,1.38,,1.81,M
58,HR1050,,52.0042,-11.2867,5.73,STAR K2III,1.1,,,,1.04,K
59,HR1051,,52.6542,48.1036,5.82,STAR B8V,-0.04,,,,-0.32,B
60,HR1052,35Sig Per,52.6437,47.9953,4.36,STAR K3III,1.35,,0.74,,1.54,K
61,HR1053,,51.0104,-69.6247,6.15,STAR G0V,0.48,,,,0.25,A
62,HR1054,Chi2For,51.8892,-35.6814,5.71,STAR K2III,1.29,,,,,K
63,HR1055,,53.8017,73.3469,6.57,STAR A0V,0.03,,,,0.02,A
64,HR1056,,52.8725,49.2097,6.29,STAR A0V,0.09,,,,0.12,A
65,HR1057,NOVA 1901,52.79917,43.90472,,CV CLASSICAL NOVA,,,,,,K
66,HR1058,Chi3For,52.0479,-35.8533,6.5,STAR A1V,0.13,,,,0.08,A
67,HR1059,,52.9546,49.4008,6.39,STAR B9III,0.09,,,,-0.14,B
68,HR106,48    Psc,7.0529,16.445,6.06,STAR K5III,1.58,,,,2.0,K
69,HR1060,,52.4129,-6.805,5.99,STAR G5,1.02,,,,0.87,K
70,HR1061,4    Tau,52.6021,11.3364,5.14,STAR A0V,-0.03,,,,-0.07,A
71,HR1062,,52.4,-12.6747,5.59,STAR A5IV,0.17,,,,0.11,A
72,HR1063,,53.0358,48.0236,5.47,STAR B8III,-0.1,,,,-0.57,B
73,HR1064,,51.4008,-69.3364,5.96,STAR F3IV,0.42,,,,0.01,F
74,HR1065,,52.8367,27.5719,5.96,STAR A2V,,,,,,A
75,HR1066,5    Tau,52.7183,12.9367,4.11,STAR K0II,1.12,,0.54,,1.02,K
76,HR1067,,52.6892,6.1886,5.94,STAR G8III,0.96,,,,0.64,G
77,HR1069,36    Per,53.1096,46.0569,5.31,STAR F4III,0.4,,0.22,,-0.02,F
78,HR107,,7.0837,10.1897,6.04,STAR F6V,0.43,,,,-0.06,F
79,HR1070,17    Eri,52.6546,-5.0753,4.73,STAR B9V,-0.09,,-0.08,,-0.27,B
80,HR1071,,53.4217,57.8689,6.37,STAR F7V,0.51,,,,0.03,F
81,HR1072,,53.1629,44.8556,6.41,STAR B2IV,0.03,,,,-0.72,B
